label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge-Freezer),74.0462,67.9897,85.8878,286.2809,286.2809,286.2809
Appliance2 (Tumble Dryer),38.7837,31.5913,38.7857,129.289,129.289,129.289
Appliance3 (Washing Machine),51.5659,45.8383,58.9047,196.3529,196.3529,196.3529
Appliance4 (Dishwasher),4.4535,3.78,4.4731,14.9127,14.9127,14.9127
Appliance5 (Computer Site),3.0726,2.687,3.3703,11.2352,11.2352,11.2352
Appliance6 (Television Site),62.0906,50.0634,62.5825,208.6092,208.6092,208.6092
Appliance7 (Microwave),5.975,5.1591,5.9853,19.9525,19.9525,19.9525
Appliance8 (Kettle),35.1417,32.1061,38.3134,127.7092,127.7092,127.7092
Appliance9 (Toaster),1.0135,0.8106,1.02,3.4019,3.4019,3.4019
Total,276.1427,240.0255,299.3228,997.7434999999998,997.7434999999998,997.7434999999998
